"year","avgVotes","avgRating"
1903,849.0000,7.4
1906,13.0000,6
1908,34.0000,5.1
1912,24.0000,6.9
1913,39.5000,6.65
1914,137.7500,6.775
1915,937.3333,7.3
1916,814.0000,7
1917,33.6667,7.866666666666667
1918,14.6667,6.233333333333333
1919,192.2000,6.860000000000001
1920,169.0000,7.6
1921,1425.0000,7.8999999999999995
1922,184.1250,7.0874999999999995
1923,126.8750,7.012499999999999
1924,278.0000,7.725
1925,897.0000,7.655555555555556
1926,94.1429,7.542857142857144
1927,262.0000,7.779999999999999
1928,161.1429,6.807142857142858
1929,129.2353,6.38235294117647
1930,675.1667,6.5
1931,821.7000,6.295
1932,519.6923,6.723076923076922
1933,370.8909,6.516363636363636
1934,534.0435,6.4
1935,576.5185,6.822222222222223
1936,753.9091,6.872727272727272
1937,748.1875,6.5843750000000005
1938,836.5625,6.51875
1939,3670.6800,7.032
1940,2805.8824,7.017647058823529
1941,4045.9600,6.92
1942,6700.1818,7.027272727272727
1943,268.1429,6.671428571428573
1944,1022.8750,6.75625
1945,724.7143,6.561904761904763
1946,3861.0000,7.0062500000000005
1947,504.8125,6.668749999999999
1948,1228.4762,6.828571428571429
1949,758.5000,6.82
1950,2252.4545,6.318181818181818
1951,2059.1739,6.695652173913044
1952,2493.2500,5.968750000000001
1953,1529.3333,6.199999999999999
1954,4404.5200,6.332000000000001
1955,2180.1667,6.5083333333333355
1956,2208.1852,6.007407407407407
1957,2475.4865,5.802702702702703
1958,2184.4333,5.2299999999999995
1959,3640.2069,5.70344827586207
1960,3158.1250,5.796875000000001
1961,2278.8462,5.773076923076922
1962,3607.9375,6.153125
1963,2718.6364,5.924242424242423
1964,3716.9167,6.066666666666666
1965,1772.9000,5.876666666666667
1966,2014.0286,5.785714285714287
1967,2483.3143,5.942857142857144
1968,3888.2889,6.0666666666666655
1969,1795.5758,6.024242424242423
1970,1420.7333,5.9511111111111115
1971,4407.4000,5.954285714285715
1972,4770.5385,5.815384615384615
1973,3999.6875,5.9437500000000005
1974,5198.5263,6.063157894736843
1975,8687.4444,6.003703703703703
1976,4495.9375,6.250000000000003
1977,5781.7805,6.16829268292683
1978,4285.8857,5.791428571428572
1979,6515.5294,5.773529411764705
1980,7558.6889,5.9
1981,4507.1667,5.574074074074075
1982,6391.7381,5.547619047619048
1983,4969.9796,5.816326530612245
1984,7365.7447,6.0531914893617005
1985,4503.1408,5.730985915492957
1986,5755.8871,5.730645161290323
1987,6969.7500,5.873333333333333
1988,5102.8378,5.666216216216216
1989,6934.9180,5.888524590163932
1990,7687.8136,5.838983050847458
1991,6818.1111,5.668253968253968
1992,6706.1273,6.079999999999999
1993,6154.4205,5.836363636363635
1994,9933.5938,6.1072916666666694
1995,8926.1288,5.798484848484847
1996,6681.8868,5.839622641509435
1997,7647.1606,5.827979274611398
1998,6671.6991,5.835398230088495
1999,9097.3415,5.900406504065039
2000,7368.3640,5.9624000000000015
2001,5902.5950,6.040809968847353
2002,5363.0000,6.20974930362117
2003,3821.0938,6.371045576407497
2004,2779.6360,6.874122807017548
2005,1155.3786,6.376699029126215
